distancia_final,Place of interest,Place address,Type of place,BiciMAD station,Station location
1664.2033470306221,Iglesia Evangélica Bautista Barrio del Pilar,CALLE GINZO DE LIMIA 44,Templos no católicos,217 - Pedro Rico,Calle Pedro Rico nº 4
995.5125450131163,Iglesia Evangélica Buenas Nuevas la Gran Comisión,CALLE RADIO 12 PLANTA BAJO A,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
1631.166427851763,Iglesia Evangélica Casa de Oración,CALLE FELIPE DE DIEGO 3 Posterior,Templos no católicos,227 - Concordia,Calle Arroyo del Olivar nº 6
223.81485888912113,Iglesia Evangélica Casa de Oración de Madrid,CALLE LONDRES 13,Templos no católicos,192 - Avenida de los Toreros,Avenida de los Toreros nº 3
2064.0210921009516,Iglesia Evangélica Casa de la Misericordia,CALLE SANTIAGO ESTEVEZ 29 PLANTA BAJO IZQUIERDA,Templos no católicos,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
309.5056729087771,Iglesia Evangélica China Española,CALLE CAROLINAS 10,Templos no católicos,205 - Estrecho,Calle Navarra nº 1
8562.019537247686,Iglesia Evangélica Emaús,CALLE AGUAVIVA 6 Local,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
438.1850881010218,Iglesia Evangélica Encuentro con Dios,CALLE JOSE DEL PRADO Y PALACIO 1 Local 4,Templos no católicos,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
3801.5000470468904,Iglesia Evangélica Evangelizando las Naciones,PASEO GIGANTES Y CABEZUDOS 48 PLANTA BAJO 12,Templos no católicos,235 - Embajadores 191,Calle Sodio nº 1B
1433.119519696159,"Iglesia Evangélica Fe, Esperanza y Amor",CALLE PATRIARCA SAN JOSE 9 PLANTA SUBSÓTANO,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
1678.9024845722663,Iglesia Evangélica Filadelfia (El Rayo),CALLE RIO ARAUCA 8,Templos no católicos,226 - Sierra Toledana,Camino de Valderribas nº 94
2545.375729991112,Iglesia Evangélica Filadelfia Orcasur,CALLE ALBU&amp;Ntilde;UELAS 4,Templos no católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
